id	source	timestamp	page_id	assessment_phase_in_session_id	session_id
1024165	In File	2023-12-10 10:23:04.381000 +00:00	15122	2157	4537
1986984	In File	2023-12-16 17:04:52.001000 +00:00	24532	2723	7081
1986994	In File	2023-12-16 17:04:54.015000 +00:00	24532	2723	7081
1945217	In File	2023-12-15 22:22:20.858000 +00:00	24111	2701	7053
1945219	In File	2023-12-15 22:22:22.066000 +00:00	24111	2701	7053
6711598	In File	2024-02-08 08:28:51.806000 +00:00	92453	12655	21759
3645315	In File	2023-12-28 21:32:30.181000 +00:00	47227	6251	11501
3645316	In File	2023-12-28 21:32:31.859000 +00:00	47227	6251	11501
3647175	In File	2023-12-28 21:40:31.165000 +00:00	47227	6251	11501
3647234	In File	2023-12-28 21:41:56.904000 +00:00	47241	6251	11501
1975049	In File	2023-12-16 14:57:27.235000 +00:00	24424	2716	7075
1975051	In File	2023-12-16 14:57:28.011000 +00:00	24424	2716	7075
1975062	In File	2023-12-16 14:57:33.968000 +00:00	24426	2716	7075
1975064	In File	2023-12-16 14:57:34.532000 +00:00	24426	2716	7075
1975071	In File	2023-12-16 14:57:38.761000 +00:00	24428	2716	7075
1975086	In File	2023-12-16 14:57:43.455000 +00:00	24428	2716	7075
