id	timestamp	page_id	assessment_phase_in_session_id	session_id
22724	2023-12-16 14:57:27.139000 +00:00	24424	2716	7075
22726	2023-12-16 14:57:33.726000 +00:00	24426	2716	7075
22728	2023-12-16 14:57:38.647000 +00:00	24428	2716	7075
22789	2023-12-16 15:28:04.875000 +00:00	24487	2718	7075
22413	2023-12-15 22:23:00.141000 +00:00	24113	2701	7053
22832	2023-12-16 17:04:51.884000 +00:00	24532	2723	7081
22779	2023-12-16 15:18:06.904000 +00:00	24475	2717	7075
45341	2023-12-28 21:41:39.712000 +00:00	47241	6251	11501
22794	2023-12-16 15:28:04.875000 +00:00	24495	2718	7075
45327	2023-12-28 21:32:29.944000 +00:00	47227	6251	11501
7119	2023-12-06 10:21:27.470000 +00:00	8670	1608	3663
13525	2023-12-10 10:22:48.680000 +00:00	15122	2157	4537
90753	2024-02-08 08:28:51.640000 +00:00	92453	12655	21759
22411	2023-12-15 22:22:20.715000 +00:00	24111	2701	7053
22775	2023-12-16 15:18:06.904000 +00:00	24476	2717	7075
